jurisdiction_id,jurisdiction,state,state_name,level,source,source_url,license,notes,mw_1938,mw_1939,mw_1940,mw_1941,mw_1942,mw_1943,mw_1944,mw_1945,mw_1946,mw_1947,mw_1948,mw_1949,mw_1950,mw_1951,mw_1952,mw_1953,mw_1954,mw_1955,mw_1956,mw_1957,mw_1958,mw_1959,mw_1960,mw_1961,mw_1962,mw_1963,mw_1964,mw_1965,mw_1966,mw_1967,mw_1968,mw_1969,mw_1970,mw_1971,mw_1972,mw_1973,mw_1974,mw_1975,mw_1976,mw_1977,mw_1978,mw_1979,mw_1980,mw_1981,mw_1982,mw_1983,mw_1984,mw_1985,mw_1986,mw_1987,mw_1988,mw_1989,mw_1990,mw_1991,mw_1992,mw_1993,mw_1994,mw_1995,mw_1996,mw_1997,mw_1998,mw_1999,mw_2000,mw_2001,mw_2002,mw_2003,mw_2004,mw_2005,mw_2006,mw_2007,mw_2008,mw_2009,mw_2010,mw_2011,mw_2012,mw_2013,mw_2014,mw_2015,mw_2016,mw_2017,mw_2018,mw_2019,mw_2020,mw_2021,mw_2022,mw_2023,mw_2024,mw_2025
US-FL,Florida,FL,Florida,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,6.15,6.4,6.67,6.79,7.21,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,8.65,10.0,12.0,13.0,14.0
US-GA,Georgia,GA,Georgia,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-HI,Hawaii,HI,Hawaii,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,3.85,3.85,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,6.25,6.25,6.25,6.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1,10.1,10.1,10.1,12.0,14.0,14.0,14.0
US-IA,Iowa,IA,Iowa,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-ID,Idaho,ID,Idaho,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-IL,Illinois,IL,Illinois,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.5,6.5,6.5,6.5,7.5,8.0,8.0,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,9.25,10.0,12.0,13.0,14.0,15.0
US-IN,Indiana,IN,Indiana,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-KS,Kansas,KS,Kansas,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-KY,Kentucky,KY,Kentucky,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-LA,Louisiana,LA,Louisiana,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-MA,Massachusetts,MA,Massachusetts,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,12.0,12.75,13.5,14.25,15.0,15.0,15.0,15.0
US-MD,Maryland,MD,Maryland,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.15,6.15,6.15,7.25,7.25,7.25,7.25,8.0,8.25,8.75,9.25,10.1,10.1,11.0,11.75,12.5,13.25,15.0,15.0
US-ME,Maine,ME,Maine,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.0,7.0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,9.0,10.0,11.0,12.0,12.15,13.8,14.15,14.65,15.0
US-MI,Michigan,MI,Michigan,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,3.85,3.85,3.85,3.85,3.85,3.85,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.4,7.4,7.4,7.4,7.4,7.4,7.4,8.15,8.5,8.5,8.9,9.25,9.45,9.65,9.87,9.87,10.1,10.33,10.56
US-MN,Minnesota,MN,Minnesota,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,8.0,9.0,9.5,9.5,9.65,9.86,10.0,10.08,10.33,10.59,10.85,11.13
US-MO,Missouri,MO,Missouri,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,6.5,6.65,7.05,7.25,7.25,7.25,7.25,7.25,7.65,7.65,7.7,7.85,8.6,9.45,10.3,11.15,12.0,12.3,13.75
US-MS,Mississippi,MS,Mississippi,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-MT,Montana,MT,Montana,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,5.15,5.15,6.15,6.25,6.9,7.25,7.35,7.65,7.8,7.9,8.05,8.05,8.15,8.3,8.5,8.65,8.75,9.2,9.95,10.3,10.55
US-NC,North Carolina,NC,North Carolina,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-ND,North Dakota,ND,North Dakota,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-NE,Nebraska,NE,Nebraska,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.5,11.0,12.0,13.5
US-NH,New Hampshire,NH,New Hampshire,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
US-NJ,New Jersey,NJ,New Jersey,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.38,8.6,10.0,11.0,12.0,13.0,14.13,15.49,15.49
US-NM,New Mexico,NM,New Mexico,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.0,10.5,11.5,12.0,12.0,12.0
US-NV,Nevada,NV,Nevada,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,6.33,6.33,6.33,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,8.0,8.75,9.5,10.25,12.0,12.0
US-NY,New York,NY,New York,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,5.15,5.15,5.15,5.15,5.15,6.0,6.75,7.15,7.15,7.25,7.25,7.25,7.25,7.25,8.0,8.75,9.0,9.7,10.4,11.1,11.8,12.5,13.2,14.2,16.0,16.5
US-OH,Ohio,OH,Ohio,State,Vaghul & Zipperer (2022) — Historical State and Sub-state Minimum Wages v1.4.0,https://github.com/benzipperer/historicalminwage,Creative Commons Attribution 4.0 (CC BY 4.0),State-level minimum wage. Data from Zipperer v1.4.0; forward-filled within series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,6.85,7.0,7.1,7.3,7.3,7.4,7.7,7.85,8.1,8.1,8.1,8.15,8.3,8.55,8.7,8.8,9.3,10.1,10.45,10.7
